"INSPECTION_ID","FACILITYID","INSPECTION_DATE","REQUIRE_REINSPECTION","CERTIFIED_FOOD_HANDLER","INSPECTION_TYPE"
"D8D944A2-088B-4880-A8C7-D214A107F735","06388937-3E46-4369-9F6B-001DF96A2EA2","2016/08/04","N","Yes","Compliance Inspection"
"8782B559-01DC-4779-A97D-92D84661BE99","06388937-3E46-4369-9F6B-001DF96A2EA2","2017/07/06","N","No","Compliance Inspection"
"9C16AF6F-5BDD-4FF7-BFB7-5A1B81087F0A","2C809ACC-0147-44A5-B0B7-002C6CBC55BE","2016/11/14","N","Yes","Compliance Inspection"
"6E34D7BE-BD3B-4E43-8EC8-7294E036EA21","E2E63D72-B389-401F-B812-0048575D3A87","2017/05/13","N","No","Compliance Inspection"
"C6EA66F6-021A-4552-BA79-8B8E349B371F","C087ED29-934D-4297-862C-00697C89075C","2017/08/23","N","No","Compliance Inspection"
"43ED12C3-3B1C-4F7A-9EE6-93C6DBD5C991","C087ED29-934D-4297-862C-00697C89075C","2017/06/28","Y","No","Compliance Inspection"
"B256E701-9EE1-4709-9000-3B89CD5EEB55","C087ED29-934D-4297-862C-00697C89075C","2016/05/25","N","No","Compliance Inspection"
"24D7D139-F34D-4521-9B0A-1ED72F44368A","C087ED29-934D-4297-862C-00697C89075C","2016/11/03","N","Yes","Compliance Inspection"
"09EC256E-72F8-4AA1-8C8E-DCE1F8E7FA99","B90BF354-F437-470B-89DB-0074D8375EDB","2016/05/26","N","No","Re-inspection"
"5E4A5823-C8E2-46C5-A9DD-C88D6C7D8170","B90BF354-F437-470B-89DB-0074D8375EDB","2017/01/26","N","No","Compliance Inspection"
"3D597711-1417-4858-AEF5-D8161E4E63A2","B90BF354-F437-470B-89DB-0074D8375EDB","2016/09/15","N","No","Compliance Inspection"
"434C9A62-D544-4F40-9481-223FD7B06535","B90BF354-F437-470B-89DB-0074D8375EDB","2015/11/26","Y","No","Compliance Inspection"
"6034C7C9-AF9B-4D2D-9A84-F6FEA7BE6932","B90BF354-F437-470B-89DB-0074D8375EDB","2015/12/02","N","No","Re-inspection"
"F3616832-0336-4897-A832-51DA3580414D","B90BF354-F437-470B-89DB-0074D8375EDB","2016/05/25","Y","No","Compliance Inspection"
"B33BC9D3-88EE-428C-8C97-11A40560F0BE","5C17261A-3E7F-4171-AFA7-008C0C7D7579","2016/11/08","N","Yes","Compliance Inspection"
"BC174DB7-F11D-4D72-9FF6-114A5E17F0CC","5C17261A-3E7F-4171-AFA7-008C0C7D7579","2015/10/30","N","Yes","Compliance Inspection"
"62DF63A5-8A76-4A55-9177-FB2FC811359E","5C17261A-3E7F-4171-AFA7-008C0C7D7579","2016/05/30","N","Yes","Compliance Inspection"
"EB65449A-1BFF-42D4-B9CB-177A106A6BE5","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2016/11/29","N","Yes","Compliance Inspection"
"2AB330F1-8CE6-49F3-A00F-A89F54A22EE4","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2015/10/22","N","Yes","Compliance Inspection"
"B583C3B0-9ECD-4C85-9000-BD7AE06DD404","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2017/06/29","N","No","Compliance Inspection"
"7C86499C-6F98-4B20-BBEA-49C54CF26F70","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2017/07/06","N","No","Re-inspection"
"0247B731-0CD8-49F4-8420-35302A6F6EE8","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2016/07/20","N","Yes","Compliance Inspection"
"8056B660-6FFA-4695-91EB-C487B3A52D4F","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2017/03/17","N","Yes","Compliance Inspection"
"98714FF1-0AAA-45EB-8DB5-C93450169CF0","D0A8AEAD-508B-46A7-9EBD-00A71F4C5D1C","2016/02/23","Y","Yes","Compliance Inspection"
"537C54E3-D9B3-4371-A8BB-4602CBE286F5","A1A52FA9-E5AC-461B-B67D-00B33E489DAD","2017/08/03","N","No","Compliance Inspection"
"65C98F1D-ADDE-4BE9-9B5B-F63D9D3AEE14","A1A52FA9-E5AC-461B-B67D-00B33E489DAD","2016/02/11","N","Yes","Compliance Inspection"
"09B757E5-E93A-4D82-BF35-08F7493142DA","A1A52FA9-E5AC-461B-B67D-00B33E489DAD","2017/03/30","N","No","Re-inspection"
"2AB8E910-A4E6-4DEA-8B88-3497C6362EBC","A1A52FA9-E5AC-461B-B67D-00B33E489DAD","2017/03/21","Y","Yes","Compliance Inspection"
"20A35DA0-7528-411E-97F0-F632B7874884","A1A52FA9-E5AC-461B-B67D-00B33E489DAD","2016/08/16","N","Yes","Compliance Inspection"
"0F742CF4-1EB1-481F-8974-26D963A20661","6EA34890-1949-4F07-A03C-00C4DF778AA8","2017/03/02","N","No","Re-inspection"
"0F1680DF-D0BF-4238-98AA-40945B2580EB","6EA34890-1949-4F07-A03C-00C4DF778AA8","2017/02/15","Y","No","Compliance Inspection"
"7589095D-7511-478F-B823-740505BBE17A","6EA34890-1949-4F07-A03C-00C4DF778AA8","2016/06/01","N","No","Re-inspection"
"0FDEB6E0-80C4-4D48-93B3-8AD89FF388C4","6EA34890-1949-4F07-A03C-00C4DF778AA8","2016/10/11","N","No","Re-inspection"
"4ED26290-C639-40AF-802E-9AC5A55B37A9","6EA34890-1949-4F07-A03C-00C4DF778AA8","2017/02/21","Y","No","Re-inspection"
"D5EFD9DB-9C7B-4DC2-B8AD-9072414FD36F","6EA34890-1949-4F07-A03C-00C4DF778AA8","2015/09/14","Y","Yes","Re-inspection"
"13D9C283-C213-4C85-AEAB-95964B665BDE","6EA34890-1949-4F07-A03C-00C4DF778AA8","2016/01/28","N","No","Re-inspection"
"E630CBB4-7673-4A7D-9F75-7DDC0751F578","6EA34890-1949-4F07-A03C-00C4DF778AA8","2015/09/21","N","Yes","Re-inspection"
"3E0C60FE-C8CD-414A-B8BC-EB02CC49A196","6EA34890-1949-4F07-A03C-00C4DF778AA8","2017/07/07","Y","No","Compliance Inspection"
"1D0BD20D-9E57-4877-BCB9-7CCC872D9395","6EA34890-1949-4F07-A03C-00C4DF778AA8","2015/09/02","Y","Yes","Compliance Inspection"
"0DD1B356-062A-47BE-86AF-C8F1752B17B6","6EA34890-1949-4F07-A03C-00C4DF778AA8","2017/07/12","N","No","Re-inspection"
