,FACILITY_ID,BUSINESS_NAME,ADDR,CITY,CAT_1,CAT_2,SUBCAT_1,SUBCAT_2,SUBCAT_3,INFRACTION_TYPE,RESULT,INFRACTION_TOTAL,INSPECTION_DATE,REQUIRE_REINSPECTION,CERTIFIED_FOOD_HANDLER,INSPECTION_TYPE
0,E2E63D72-B389-401F-B812-0048575D3A87,C'EST CHEESE PLEASE,40 GRAND AVE N,CAMBRIDGE,Food, General,Food Take Out,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-05-13,N,No,Compliance Inspection
1,C087ED29-934D-4297-862C-00697C89075C,"WIRED UP PUGS CAFE-BISTRO, THE",93 GRAND AVE S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2016-05-25,N,No,Compliance Inspection
2,C087ED29-934D-4297-862C-00697C89075C,"WIRED UP PUGS CAFE-BISTRO, THE",93 GRAND AVE S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,3.0,2017-08-23,N,No,Compliance Inspection
3,C087ED29-934D-4297-862C-00697C89075C,"WIRED UP PUGS CAFE-BISTRO, THE",93 GRAND AVE S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Corrected During Inspection,1.0,2017-08-23,N,No,Compliance Inspection
4,C087ED29-934D-4297-862C-00697C89075C,"WIRED UP PUGS CAFE-BISTRO, THE",93 GRAND AVE S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2017-06-28,Y,No,Compliance Inspection
5,C087ED29-934D-4297-862C-00697C89075C,"WIRED UP PUGS CAFE-BISTRO, THE",93 GRAND AVE S,CAMBRIDGE,Food, General,Restaurant,,,NON-CRITICAL,Not in Compliance,2.0,2016-11-03,N,Yes,Compliance Inspection
6,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,CRITICAL,Not in Compliance,1.0,2015-11-26,Y,No,Compliance Inspection
7,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,NON-CRITICAL,Not in Compliance,1.0,2015-11-26,Y,No,Compliance Inspection
8,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,CRITICAL,Not in Compliance,2.0,2016-05-25,Y,No,Compliance Inspection
9,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,NON-CRITICAL,Not in Compliance,2.0,2016-05-25,Y,No,Compliance Inspection
10,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,NON-CRITICAL,Not in Compliance,1.0,2016-05-26,N,No,Re-inspection
11,B90BF354-F437-470B-89DB-0074D8375EDB,MAC'S CONVENIENCE,540 WESTFOREST TRAIL,KITCHENER,Food, General,Food store convenience , Variety,,NON-CRITICAL,Not in Compliance,1.0,2016-09-15,N,No,Compliance Inspection
